id,occurrence_id,last_modified,callnumber,title,scientificname,collector,collecting_date,latitude,longitude,datum,geographic_continent,geographic_country,geographic_stateprovince,geographic_county,geographic_municipality,geographic_locality,common_name,type,format,era,geographic_culture,identified_by,identification_references,previous_identifications,associated_references
2898831,urn:uuid:86a62c7a-00c4-4d31-bc75-16f063bcdb08,2019-02-12T23:18:56.000Z,YPM IZ 000154.TN,Alcyonidium; YPM IZ 000154.TN; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; A. E. Verrill and class; 1865,Alcyonidium,A. E. Verrill and class,2/7/1905,,,,North America,USA,Connecticut,,,,marine bryozoans; bryozoans; animals,,,,,,,Alcyonidium,
2942830,urn:uuid:c3059afc-c7cc-4cc1-b0d3-915758cf1fd0,2016-03-09T10:37:09.000Z,YPM IZ 051190,"Alvania; YPM IZ 051190; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Thimble Islands; Addison E. Verrill",Alvania,Addison E. Verrill,,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,"Branford, Thimble Islands",,snails and slugs; molluscs; animals,,,,,,,Alvania|Littorinella minuta?,|
2921021,urn:uuid:b5a45dbd-19bc-445e-99b8-ae6712944131,2018-03-04T00:09:49.000Z,YPM IZ 043416,"Amage pusilla; YPM IZ 043416 (HOLOTYPE?); North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; New Haven; off South End; Verrill, A. E.; 1871-05-29",Amage pusilla,"Verrill, A. E.",5/29/1871,41.30723064,-72.92453112,WGS84,North America,USA,Connecticut,New Haven County,New Haven,off South End,marine bristleworms; segmented worms; animals,,,,,,"Verrill, Addison E. 1873. Report upon the invertebrate animals of Vineyard Sound and the adjacent waters, with an account of the physical characters of the region. Rept. U.S. Fish Comm. (1871-1872):.",Amage pusilla,"HOLOTYPE?. See: Verrill, Addison E. 1873. Report upon the invertebrate animals of Vineyard Sound and the adjacent waters, with an account of the physical characters of the region. Rept. U.S. Fish Comm. (1871-1872):."
4661439,urn:uuid:111245a8-9cd1-4bf0-856b-5ad388e288ae,2019-01-16T23:17:05.000Z,YPM IZ 103887,"Amathia gracilis; YPM IZ 103887; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Thimble Islands; Outer Island; Verrill, A. E.; 1875",Amathia gracilis,"Verrill, A. E.",2/17/1905,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,"Branford, Thimble Islands",Outer Island,marine bryozoans; bryozoans; animals,,,,,,,Amathia gracilis|Bowerbankia gracilis,"|Det. by: Raymond C. Osburn, Lou W. Hutchins"
4470418,urn:uuid:9748c3cd-db1c-4131-8ecf-dab7fdd758ce,2018-02-01T15:33:55.000Z,YPM IZ 102193,"Ampelisca vadorum; YPM IZ 102193; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New London County; Noank; Verrill, A. E.; 1874",Ampelisca vadorum,"Verrill, A. E.",2/16/1905,41.35785047,-72.02754388,WGS84,North America,USA,Connecticut,New London County,Noank,,gammaridean amphipods; amphipods; malacostracans; crustaceans; arthropods; animals,,,,,,,Ampelisca vadorum,
4470422,urn:uuid:eb441e99-e925-4f43-b04f-1bbc318f8288,2018-02-01T14:01:23.000Z,YPM IZ 102192,"Ampelisca verrilli; YPM IZ 102192; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New London County; Noank; Verrill, A. E.; 1874",Ampelisca verrilli,"Verrill, A. E.",2/16/1905,41.35785047,-72.02754388,WGS84,North America,USA,Connecticut,New London County,Noank,,gammaridean amphipods; amphipods; malacostracans; crustaceans; arthropods; animals,,,,,,,Ampelisca verrilli,
2926277,urn:uuid:7268e0d4-acb3-402a-81e0-3bc0fea09eee,2017-03-26T20:17:57.000Z,YPM IZ 000202.AN,"Ampharete setosa; YPM IZ 000202.AN (SYNTYPE); North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; New Haven; off South End; Verrill, A. E.; 1871-05-29",Ampharete setosa,"Verrill, A. E.",1871-05-29,41.30723064,-72.92453112,WGS84,North America,USA,Connecticut,New Haven County,New Haven,off South End,marine bristleworms; segmented worms; animals,,,,,,"Verrill, Addison E. 1873. Report upon the invertebrate animals of Vineyard Sound and the adjacent waters, with an account of the physical characters of the region. Rept. U.S. Fish Comm. (1871-1872):.",Ampharete setosa,"SYNTYPE. See: Verrill, Addison E. 1873. Report upon the invertebrate animals of Vineyard Sound and the adjacent waters, with an account of the physical characters of the region. Rept. U.S. Fish Comm. (1871-1872):."
2901864,urn:uuid:f67f86d3-501f-4ac7-9766-7d4a5ebf0bd9,2016-03-09T10:37:09.000Z,YPM IZ 004979.EC,"Amphioplus abditus; YPM IZ 004979.EC; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, off Thimble Islands; Addison E. Verrill; 1873",Amphioplus abditus,Addison E. Verrill,2/15/1905,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,"Branford, off Thimble Islands",,brittle stars; basket stars; sea stars; echinoderms; animals,,,,,,,Amphioplus abditus|Amphipholis abdita,|Det. by: Addison E. Verrill
2901868,urn:uuid:81333b63-78d5-40eb-9e08-5b0cc7c171cf,2016-03-08T09:58:26.000Z,YPM IZ 004982.EC,"Amphioplus abditus; YPM IZ 004982.EC; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Thimble Islands; Addison E. Verrill; 1873-05",Amphioplus abditus,Addison E. Verrill,1873-05,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,"Branford, Thimble Islands",,brittle stars; basket stars; sea stars; echinoderms; animals,,,,,,,Amphioplus abditus|Amphipholis abdita,|Det. by: Addison E. Verrill
2901860,urn:uuid:dc1f9340-a336-47cf-ab3b-3f72f0c71138,2018-03-04T00:09:49.000Z,YPM IZ 004978.EC,"Amphipholis abdita; YPM IZ 004978.EC (HOLOTYPE?); North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Thimble Islands; Verrill, A. E.",Amphipholis abdita,"Verrill, A. E.",,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,"Branford, Thimble Islands",,brittle stars; basket stars; sea stars; echinoderms; animals,,,,,,"Verrill, Addison E. 1871. Brief Contributions to Zoology from the Museum of Yale College. No. 15. Description of Starfishes and Ophiurians from the Atlantic Coasts of America and Africa. American Journal of Science. 2: 1-4.",Amphioplus abditus|Amphipholis abdita,"|HOLOTYPE?. See: Verrill, Addison E. 1871. Brief Contributions to Zoology from the Museum of Yale College. No. 15. Description of Starfishes and Ophiurians from the Atlantic Coasts of America and Africa. American Journal of Science. 2: 1-4."
2894310,urn:uuid:843f712d-7e04-4620-b1f3-0ccf1108c43d,2016-03-16T15:23:08.000Z,YPM IZ 000114.NM,"Amphiporus sp.; YPM IZ 000114.NM; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; West Haven, Savin Rock; Addison E. Verrill; 1871-05-01",Amphiporus sp.,Addison E. Verrill,1871-05-01,41.27455087,-72.96366179,WGS84,North America,USA,Connecticut,New Haven County,"West Haven, Savin Rock",,enoplan nemertines; ribbon worms; animals,,,,,,,Amphiporus sp.,
2926230,urn:uuid:8e0d1a63-cd10-4c3f-849c-e449d20cfd77,2016-03-08T09:58:26.000Z,YPM IZ 000164.AN,"Amphitrite ornata; YPM IZ 000164.AN; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; West Haven, Savin Rock; A. E. Verrill and class; 1866-10",Amphitrite ornata,A. E. Verrill and class,1866-10,41.27455087,-72.96366179,WGS84,North America,USA,Connecticut,New Haven County,"West Haven, Savin Rock",,marine bristleworms; segmented worms; animals,,,,,Addison E. Verrill,,Amphitrite ornata,Det. by: Addison E. Verrill
2926287,urn:uuid:7c57ae0a-dee9-494f-97e9-ff1958a97863,2016-03-07T11:41:34.000Z,YPM IZ 000222.AN,Amphitrite ornata; YPM IZ 000222.AN; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Stony Creek; Addison E. Verrill; 1871-05-15,Amphitrite ornata,Addison E. Verrill,1871-05-15,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,Stony Creek,,marine bristleworms; segmented worms; animals,,,,,Addison E. Verrill,,Amphitrite ornata,Det. by: Addison E. Verrill
2926649,urn:uuid:c428a2d8-1ab9-4039-aee0-5e6891b753c1,2016-03-09T10:37:09.000Z,YPM IZ 000869.AN,Amphitrite ornata; YPM IZ 000869.AN; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Stony Creek; Addison E. Verrill; 1872-05,Amphitrite ornata,Addison E. Verrill,1872-05,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,Stony Creek,,marine bristleworms; segmented worms; animals,,,,,Addison E. Verrill,,Amphitrite ornata,Det. by: Addison E. Verrill
2927041,urn:uuid:7e2fdfd0-dd18-48ef-b708-993aeed0bdaf,2016-03-16T15:23:08.000Z,YPM IZ 045224,"Amphitrite ornata; YPM IZ 045224; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; West Haven, Savin Rock; A. E. Verrill and class; 1866-10",Amphitrite ornata,A. E. Verrill and class,1866-10,41.27455087,-72.96366179,WGS84,North America,USA,Connecticut,New Haven County,"West Haven, Savin Rock",,marine bristleworms; segmented worms; animals,,,,,Addison E. Verrill,,Amphitrite ornata,Det. by: Addison E. Verrill
2927061,urn:uuid:dd9593c7-4003-4a66-8462-665a729f23ef,2016-03-09T10:37:09.000Z,YPM IZ 045229,"Amphitrite ornata; YPM IZ 045229; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; New Haven, South End; Addison E. Verrill; 1875-11",Amphitrite ornata,Addison E. Verrill,1875-11,41.30723064,-72.92453112,WGS84,North America,USA,Connecticut,New Haven County,"New Haven, South End",,marine bristleworms; segmented worms; animals,,,,,Addison E. Verrill,,Amphitrite ornata,Det. by: Addison E. Verrill
2927064,urn:uuid:c1efd839-d3a2-4e9f-aae7-be14cf48cc9f,2016-03-09T10:37:09.000Z,YPM IZ 045230,"Amphitrite ornata; YPM IZ 045230; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; West Haven, Savin Rock; Addison E. Verrill; 1870-10",Amphitrite ornata,Addison E. Verrill,1870-10,41.27455087,-72.96366179,WGS84,North America,USA,Connecticut,New Haven County,"West Haven, Savin Rock",,marine bristleworms; segmented worms; animals,,,,,Addison E. Verrill,,Amphitrite ornata,Det. by: Addison E. Verrill
2902995,urn:uuid:10004d3d-830e-4ca0-a8f9-43b4a2bc4237,2019-02-12T23:18:56.000Z,YPM IZ 005244.CR,"Ampithoe rubricata; YPM IZ 005244.CR; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New London County; Stonington; Off Stonington; Verrill, A. E.; 1873-04",Ampithoe rubricata,"Verrill, A. E.",1873-04,41.36829536,-71.90668548,WGS84,North America,USA,Connecticut,New London County,Stonington,Off Stonington,gammaridean amphipods; amphipods; malacostracans; crustaceans; arthropods; animals,,,,,,,Ampithoe rubricata,
2902998,urn:uuid:30d32201-798b-4fd4-98a1-6333cda59de3,2019-02-12T23:18:56.000Z,YPM IZ 007773.CR,"Ampithoe rubricata; YPM IZ 007773.CR; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New London County; Stonington; Off Stonington; Verrill, A. E.; 1873-04",Ampithoe rubricata,"Verrill, A. E.",1873-04,41.36829536,-71.90668548,WGS84,North America,USA,Connecticut,New London County,Stonington,Off Stonington,gammaridean amphipods; amphipods; malacostracans; crustaceans; arthropods; animals,,,,,,,Ampithoe rubricata,
2952748,urn:uuid:db318de2-2fa5-4c47-b631-ae7b74f6c505,2019-01-11T23:19:15.000Z,YPM IZ 007784.CR,"Ampithoe rubricata; YPM IZ 007784.CR; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Thimble Islands; in pools; Verrill, A. E.; 1874-09-29",Ampithoe rubricata,"Verrill, A. E.",1874-09-29,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,"Branford, Thimble Islands",in pools,gammaridean amphipods; amphipods; malacostracans; crustaceans; arthropods; animals,,,,,Eric A. Lazo-Wasem,,Ampithoe rubricata,Det. by: Eric A. Lazo-Wasem 1983
2903000,urn:uuid:3f832f48-9ecd-40b9-a602-3828252add6b,2016-03-06T17:10:26.000Z,YPM IZ 007899.CR,"Ampithoe rubricata; YPM IZ 007899.CR; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Guilford, Faulkner's Island; Addison E. Verrill; 1879-10-02",Ampithoe rubricata,Addison E. Verrill,1879-10-02,41.32137348,-72.69292233,WGS84,North America,USA,Connecticut,New Haven County,"Guilford, Faulkner's Island",,gammaridean amphipods; amphipods; malacostracans; crustaceans; arthropods; animals,,,,,,,Ampithoe rubricata,
2952749,urn:uuid:8208ad34-6701-445c-9340-3077c352305e,2019-01-11T23:19:15.000Z,YPM IZ 007785.CR,"Ampithoe valida; YPM IZ 007785.CR; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Thimble Islands; in pools; Verrill, A. E.; 1874-09-29",Ampithoe valida,"Verrill, A. E.",1874-09-29,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,"Branford, Thimble Islands",in pools,gammaridean amphipods; amphipods; malacostracans; crustaceans; arthropods; animals,,,,,Eric A. Lazo-Wasem,,Ampithoe valida,Det. by: Eric A. Lazo-Wasem 1983
2903005,urn:uuid:d0335bf5-1ff7-4eeb-9767-4b2dce542314,2016-03-09T10:37:09.000Z,YPM IZ 007897.CR,"Ampithoe valida; YPM IZ 007897.CR; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Guilford, Faulkner's Island; Addison E. Verrill; 1879-10-02",Ampithoe valida,Addison E. Verrill,1879-10-02,41.32137348,-72.69292233,WGS84,North America,USA,Connecticut,New Haven County,"Guilford, Faulkner's Island",,gammaridean amphipods; amphipods; malacostracans; crustaceans; arthropods; animals,,,,,,,Ampithoe valida,
2936504,urn:uuid:92aaad69-a4e2-4e70-82ea-9ce7850b3970,2016-03-08T09:58:26.000Z,YPM IZ 006462.BV,"Anadara transversa; YPM IZ 006462.BV; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Thimble Islands; Outer Island; Addison E. Verrill; 1898",Anadara transversa,Addison E. Verrill,3/12/1905,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,"Branford, Thimble Islands",Outer Island,bivalves; molluscs; animals,,,,,,,Anadara transversa,
2926463,urn:uuid:614ac629-0084-4ddb-b4ca-abd50cb4708a,2018-03-04T00:09:49.000Z,YPM IZ 000644.AN,"Anthostoma robustum; YPM IZ 000644.AN (SYNTYPE); North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; New Haven; Verrill, A. E.",Anthostoma robustum,"Verrill, A. E.",,41.30723064,-72.92453112,WGS84,North America,USA,Connecticut,New Haven County,New Haven,,marine bristleworms; segmented worms; animals,,,,,Addison E. Verrill,,Anthostoma robustum,SYNTYPE. Det. by: Addison E. Verrill
2928030,urn:uuid:d1bd0fdd-cbc4-4674-b99f-be60a109c413,2018-03-04T00:09:49.000Z,YPM IZ 002261.AN,"Anthostoma robustum; YPM IZ 002261.AN (SYNTYPE?); North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; New Haven; Verrill, A. E.; 1870",Anthostoma robustum,"Verrill, A. E.",2/12/1905,41.30723064,-72.92453112,WGS84,North America,USA,Connecticut,New Haven County,New Haven,,marine bristleworms; segmented worms; animals,,,,,,"Verrill, Addison E. 1873. Report upon the invertebrate animals of Vineyard Sound and the adjacent waters, with an account of the physical characters of the region. Rept. U.S. Fish Comm. (1871-1872):.",Scoloplos robustus|Anthostoma robustum,"Det. by: Marian H. Pettibone|SYNTYPE?. See: Verrill, Addison E. 1873. Report upon the invertebrate animals of Vineyard Sound and the adjacent waters, with an account of the physical characters of the region. Rept. U.S. Fish Comm. (1871-1872):."
2899594,urn:uuid:f6268aad-5da7-423f-9287-7c7d74e4ca4f,2016-03-09T10:37:09.000Z,YPM IZ 002225.TN,"Aplidium constellatum; YPM IZ 002225.TN; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Branford, Thimble Islands; Addison E. Verrill",Aplidium constellatum,Addison E. Verrill,,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,"Branford, Thimble Islands",,sea squirts; tunicates; chordates; animals,,,,,,,Aplidium constellatum|Amaroucium constellatum|Amaroucium pellucidum constellatum,||Det. by: Willard G. Van Name
2926285,urn:uuid:8ca2d9d1-021c-419f-97d6-54c22304992f,2016-03-08T09:58:26.000Z,YPM IZ 000219.AN,Arabella iricolor; YPM IZ 000219.AN; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; Stony Creek; Addison E. Verrill; 1871-05-15,Arabella iricolor,Addison E. Verrill,1871-05-15,41.27900056,-72.79675835,WGS84,North America,USA,Connecticut,New Haven County,Stony Creek,,marine bristleworms; segmented worms; animals,,,,,,,Arabella iricolor,
2926444,urn:uuid:1fd59bbf-23de-44ca-99fc-414c61a1389f,2016-03-06T17:10:26.000Z,YPM IZ 000629.AN,Arabella iricolor; YPM IZ 000629.AN; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; New Haven; Addison E. Verrill; 1881,Arabella iricolor,Addison E. Verrill,2/23/1905,41.30723064,-72.92453112,WGS84,North America,USA,Connecticut,New Haven County,New Haven,,marine bristleworms; segmented worms; animals,,,,,,,Arabella iricolor,
2927885,urn:uuid:6de60cfe-f627-4f1d-b97d-c60108ec5928,2016-03-07T11:41:34.000Z,YPM IZ 000659.AN,Arabella iricolor; YPM IZ 000659.AN; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; New Haven; South End; Addison E. Verrill; 1874-11,Arabella iricolor,Addison E. Verrill,1874-11,41.30723064,-72.92453112,WGS84,North America,USA,Connecticut,New Haven County,New Haven,South End,marine bristleworms; segmented worms; animals,,,,,Marian H. Pettibone,,Arabella iricolor|Lumbriconereis opalina,Det. by: Marian H. Pettibone|Det. by: Addison E. Verrill
2928504,urn:uuid:ce4c23a1-07bb-47d2-b678-b265f9a4591e,2018-03-04T00:09:49.000Z,YPM IZ 002718.AN,"Aricia ornata; YPM IZ 002718.AN (SYNTYPE); North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; West Haven; Savin Rock; Verrill, A. E.; 1872-05",Aricia ornata,"Verrill, A. E.",1872-05,41.27455087,-72.96366179,WGS84,North America,USA,Connecticut,New Haven County,West Haven,Savin Rock,marine bristleworms; segmented worms; animals,,,,,,,Aricia ornata,SYNTYPE. Note: catalog
2952044,urn:uuid:0aab1ca5-8484-45ad-bf2b-0de277cf414c,2016-03-06T17:10:26.000Z,YPM IZ 006384.CR,Armadillidium vulgare; YPM IZ 006384.CR; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; New Haven; Addison E. Verrill,Armadillidium vulgare,Addison E. Verrill,,41.30723064,-72.92453112,WGS84,North America,USA,Connecticut,New Haven County,New Haven,,isopods; malacostracans; crustaceans; arthropods; animals,,,,,,,Armadillidium vulgare,
2953897,urn:uuid:9a5cdcc8-6d17-4a42-9502-6a1e488448cc,2016-03-08T09:58:26.000Z,YPM IZ 009121.CR,Armadillidium vulgare; YPM IZ 009121.CR; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; New Haven; Addison E. Verrill,Armadillidium vulgare,Addison E. Verrill,,41.30723064,-72.92453112,WGS84,North America,USA,Connecticut,New Haven County,New Haven,,isopods; malacostracans; crustaceans; arthropods; animals,,,,,,,Armadillidium vulgare,
2947304,urn:uuid:cee59e48-97f9-45c2-ab0c-f3bb26c2ee4c,2017-04-04T23:15:36.000Z,YPM IZ 000108.CR,Asellus communis; YPM IZ 000108.CR; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; New Haven; A. E. Verrill and class; 1865,Asellus communis,A. E. Verrill and class,2/7/1905,41.30723064,-72.92453112,WGS84,North America,USA,Connecticut,New Haven County,New Haven,,isopods; malacostracans; crustaceans; arthropods; animals,,,,,,,Asellus communis,
2947733,urn:uuid:e198d796-d35f-4f2e-8924-148a67a240d5,2016-03-09T10:37:09.000Z,YPM IZ 000494.CR,Asellus sp.; YPM IZ 000494.CR; North America; Atlantic Ocean; Long Island Sound; USA; Connecticut; New Haven County; New Haven; A. E. Verrill and class; 1864,Asellus sp.,A. E. Verrill and class,2/6/1905,41.30723064,-72.92453112,WGS84,North America,USA,Connecticut,New Haven County,New Haven,,isopods; malacostracans; crustaceans; arthropods; animals,,,,,,,Asellus sp.,
